R_eff,q_conv,q_rad_published,q_total
1.7899665551839465,3895878.3377981917,10320798.779159542,14216677.116957733
1.7989966555183947,3886088.316727905,10337474.631748712,14223562.948476616
1.808026755852843,3876371.731207014,10354093.730707318,14230465.46191433
1.817056856187291,3866727.6677284758,10370656.551200202,14237384.218928678
1.8260869565217392,3857155.228615588,10387163.562076205,14244318.790691793
1.8351170568561874,3847653.5316710253,10403615.225982908,14251268.757653933
1.8441471571906356,3838221.7098353277,10420011.999478707,14258233.709314035
1.8531772575250838,3828858.910854565,10436354.33314233,14265213.243996896
1.862207357859532,3819564.2969568647,10452642.671679866,14272206.96863673
1.8712374581939801,3810337.044537543,10468877.454029368,14279214.49856691
1.8802675585284283,3801176.343852562,10485059.113463085,14286235.457315646
1.8892976588628765,3792081.398720051,10501188.07768744,14293269.47640749
1.8983277591973247,3783051.4262296488,10517264.768940711,14300316.19517036
1.9073578595317726,3774085.6564594246,10533289.604088606,14307375.260548031
1.9163879598662208,3765183.3322001444,10549262.994717684,14314446.326917827
1.925418060200669,3756343.7086866484,10565185.347226728,14321529.055913376
1.9344481605351171,3747566.053336153,10581057.062916132,14328623.116252284
1.9434782608695653,3738849.645493227,10596878.538075319,14335728.183568545
1.9525083612040135,3730193.776181278,10612650.164068257,14342843.940249536
1.9615384615384617,3721597.7478603264,10628372.327417165,14349970.075277492
1.9705685618729099,3713060.874190905,10644045.409884365,14357106.284075271
1.979598662207358,3704582.479803874,10659669.788552426,14364252.2683563
1.9886287625418062,3696161.9000760014,10675245.835902581,14371407.735978583
1.9976588628762544,3687798.4809111287,10690773.919891471,14378572.4008026
2.0066889632107023,3679491.57852675,10706254.404026292,14385745.982553042
2.0157190635451507,3671240.5592458723,10721687.647438351,14392928.206684224
2.0247491638795987,3663044.799293966,10737074.004955065,14400118.80424903
2.0337792642140466,3654903.684600896,10752413.827170495,14407317.511771392
2.042809364548495,3646816.6106076688,10767707.460514385,14414524.071122054
2.051839464882943,3638782.98207786,10782955.24731979,14421738.229397649
2.0608695652173914,3630802.2129135905,10798157.525889315,14428959.738802906
2.0698996655518394,3622873.725975931,10813314.630559992,14436188.356535923
2.0789297658862878,3614996.952909592,10828426.891766837,14443423.84467643
2.0879598662207357,3607171.3339717938,10843494.636105113,14450665.970076907
2.096989966555184,3599396.3178651934,10858518.186391348,14457914.50425654
2.106020066889632,3591671.3615747537,10873497.861723099,14465169.223297853
2.1150501672240805,3583995.9302084506,10888433.977537561,14472429.907746011
2.1240802675585284,3576369.4968417063,10903326.845668951,14479696.342510657
2.133110367892977,3568791.5423654476,10918176.774404807,14486968.316770256
2.1421404682274248,3561261.555337695,10932984.068541141,14494245.623878837
2.151170568561873,3553779.0318385754,10947749.029436506,14501528.061275082
2.160200668896321,3546343.4753286806,10962471.955065023,14508815.430393703
2.169230769230769,3538954.39651066,10977153.140068347,14516107.536579007
2.1782608695652175,3531611.3131939876,10991792.87580665,14523404.189000638
2.1872909698996654,3524313.7501627877,11006391.450408578,14530705.200571366
2.196321070234114,3517061.2390466644,11020949.148820294,14538010.387866959
2.205351170568562,3509853.318194433,11035466.252853528,14545319.571047962
2.21438127090301,3502689.5325506963,11049943.041232744,14552632.57378344
2.223411371237458,3495569.4335351735,11064379.789641403,14559949.223176576
2.2324414715719065,3488492.5789247183,11078776.770767322,14567269.34969204
2.2414715719063545,3481458.532737957,11093134.254347207,14574592.787085164
